Plate,Row,Column,Column_Name,CDF_Filename,Tissue,Group,Animal,Time,RNA_loaded
2,C,3,Gas3,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,11,3,25,259.3111111
2,D,3,Gas3,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,11,4,25,195.0666667
2,E,3,Gas3,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,12,1,25,266.1555556
2,F,3,Gas3,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,12,2,25,261.1777778
2,G,3,Gas3,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,12,3,25,248.1111111
2,H,3,Gas3,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,12,4,25,261.8
2,A,4,Gas4,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,15,1,25,304.1111111
2,B,4,Gas4,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,15,2,25,253.2444444
2,C,4,Gas4,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,15,3,25,266
2,D,4,Gas4,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,15,4,25,230.5333333
2,E,4,Gas4,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,16,1,25,248.1111111
2,F,4,Gas4,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,16,2,25,222.4444444
2,G,4,Gas4,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,16,3,25,257.1333333
2,H,4,Gas4,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,16,4,25,231.1555556
2,A,5,Gas5,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,19,1,25,119.9955556
2,B,5,Gas5,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,19,2,25,135.0533333
2,C,5,Gas5,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,19,3,25,71.96
2,D,5,Gas5,20220825_20220825-704-mmCNM-D25-GasTA,Gastroc,19,4,25,98.04666667
2,E,5,Gas5,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,F,5,Gas5,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,G,5,Gas5,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,H,5,Gas5,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,A,6,Water1,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,B,6,Water1,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,C,6,Water1,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,D,6,Water1,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,E,6,Water1,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,F,6,Water1,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,G,6,Water1,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,H,6,Water1,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,A,7,Water2,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,B,7,Water2,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,C,7,Water2,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,D,7,Water2,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,E,7,Water2,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,F,7,Water2,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,G,7,Water2,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,H,7,Water2,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,A,8,TA1,20220825_20220825-704-mmCNM-D25-GasTA,TA,3,1,25,132.9377778
2,B,8,TA1,20220825_20220825-704-mmCNM-D25-GasTA,TA,3,2,25,93.24
2,C,8,TA1,20220825_20220825-704-mmCNM-D25-GasTA,TA,3,3,25,106.0422222
2,D,8,TA1,20220825_20220825-704-mmCNM-D25-GasTA,TA,3,4,25,106.8511111
2,E,8,TA1,20220825_20220825-704-mmCNM-D25-GasTA,TA,4,1,25,124.3044444
2,F,8,TA1,20220825_20220825-704-mmCNM-D25-GasTA,TA,4,2,25,57.41555556
2,G,8,TA1,20220825_20220825-704-mmCNM-D25-GasTA,TA,4,3,25,127.5711111
2,H,8,TA1,20220825_20220825-704-mmCNM-D25-GasTA,TA,4,4,25,83.72
2,A,9,TA2,20220825_20220825-704-mmCNM-D25-GasTA,TA,7,1,25,267.5555556
2,B,9,TA2,20220825_20220825-704-mmCNM-D25-GasTA,TA,7,2,25,341.4444444
2,C,9,TA2,20220825_20220825-704-mmCNM-D25-GasTA,TA,7,3,25,286.0666667
2,D,9,TA2,20220825_20220825-704-mmCNM-D25-GasTA,TA,7,4,25,182.7777778
2,E,9,TA2,20220825_20220825-704-mmCNM-D25-GasTA,TA,8,1,25,519.4
2,F,9,TA2,20220825_20220825-704-mmCNM-D25-GasTA,TA,8,2,25,400.8666667
2,G,9,TA2,20220825_20220825-704-mmCNM-D25-GasTA,TA,8,3,25,499.9555556
2,H,9,TA2,20220825_20220825-704-mmCNM-D25-GasTA,TA,8,4,25,570.8888889
2,A,10,TA3,20220825_20220825-704-mmCNM-D25-GasTA,TA,11,1,25,80.84222222
2,B,10,TA3,20220825_20220825-704-mmCNM-D25-GasTA,TA,11,2,25,138.6155556
2,C,10,TA3,20220825_20220825-704-mmCNM-D25-GasTA,TA,11,3,25,303.0222222
2,D,10,TA3,20220825_20220825-704-mmCNM-D25-GasTA,TA,11,4,25,310.3333333
2,E,10,TA3,20220825_20220825-704-mmCNM-D25-GasTA,TA,12,1,25,500.8888889
2,F,10,TA3,20220825_20220825-704-mmCNM-D25-GasTA,TA,12,2,25,375.9777778
2,G,10,TA3,20220825_20220825-704-mmCNM-D25-GasTA,TA,12,3,25,531.8444444
2,H,10,TA3,20220825_20220825-704-mmCNM-D25-GasTA,TA,12,4,25,436.6444444
2,A,11,TA4,20220825_20220825-704-mmCNM-D25-GasTA,TA,15,1,25,273.4666667
2,B,11,TA4,20220825_20220825-704-mmCNM-D25-GasTA,TA,15,2,25,464.4888889
2,C,11,TA4,20220825_20220825-704-mmCNM-D25-GasTA,TA,15,3,25,540.5555556
2,D,11,TA4,20220825_20220825-704-mmCNM-D25-GasTA,TA,15,4,25,454.5333333
2,E,11,TA4,20220825_20220825-704-mmCNM-D25-GasTA,TA,16,1,25,496.2222222
2,F,11,TA4,20220825_20220825-704-mmCNM-D25-GasTA,TA,16,2,25,529.8222222
2,G,11,TA4,20220825_20220825-704-mmCNM-D25-GasTA,TA,16,3,25,499.3333333
2,H,11,TA4,20220825_20220825-704-mmCNM-D25-GasTA,TA,16,4,25,489.6888889
2,A,12,TA5,20220825_20220825-704-mmCNM-D25-GasTA,TA,19,1,25,129.3755556
2,B,12,TA5,20220825_20220825-704-mmCNM-D25-GasTA,TA,19,2,25,121.7688889
2,C,12,TA5,20220825_20220825-704-mmCNM-D25-GasTA,TA,19,3,25,115.1422222
2,D,12,TA5,20220825_20220825-704-mmCNM-D25-GasTA,TA,19,4,25,88.51111111
2,E,12,TA5,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,F,12,TA5,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,G,12,TA5,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
2,H,12,TA5,20220825_20220825-704-mmCNM-D25-GasTA,0,0,0,25,0
